term,p-value,q-value
FOXD2-AS1,0.021253019669436757,0.2770592926472227
C1QTNF7-AS1,0.021253019669436757,0.2770592926472227
OPCML-IT1,0.021253019669436757,0.2770592926472227
OPCML-IT2,0.021253019669436757,0.2770592926472227
CD44-AS1,0.021253019669436757,0.2770592926472227
CACNA1C-AS2,0.021253019669436757,0.2770592926472227
TMEM132D-AS2,0.021253019669436757,0.2770592926472227
LMF1-AS1,0.021253019669436757,0.2770592926472227
DLGAP1-AS4,0.021253019669436757,0.2770592926472227
MAPT-AS1,0.021253019669436757,0.2770592926472227
CELF2-DT,0.021253019669436757,0.2770592926472227
MCM8-AS1,0.021253019669436757,0.2770592926472227
CNTN4-AS2,0.021253019669436757,0.2770592926472227
LINC01416,0.021253019669436757,0.2770592926472227
LINC01496,0.021253019669436757,0.2770592926472227
LINC02281,0.021253019669436757,0.2770592926472227
LINC00520,0.021253019669436757,0.2770592926472227
LINC02610,0.021253019669436757,0.2770592926472227
LINC02346,0.021253019669436757,0.2770592926472227
LINC01823,0.021253019669436757,0.2770592926472227
LINC00320,0.021253019669436757,0.2770592926472227
LINC01534,0.021253019669436757,0.2770592926472227
LINC02774,0.021253019669436757,0.2770592926472227
LINC01630,0.021253019669436757,0.2770592926472227
LINC01165,0.021253019669436757,0.2770592926472227
LINC00200,0.021253019669436757,0.2770592926472227
LINC02572,0.021253019669436757,0.2770592926472227
LINC02522,0.021253019669436757,0.2770592926472227
LINC01705,0.021253019669436757,0.2770592926472227
LINC01677,0.021253019669436757,0.2770592926472227
LINC02645,0.021253019669436757,0.2770592926472227
LINC02693,0.021253019669436757,0.2770592926472227
LINC01102,0.021253019669436757,0.2770592926472227
LINC02440,0.021253019669436757,0.2770592926472227
LINC02282,0.021253019669436757,0.2770592926472227
LINC02116,0.021253019669436757,0.2770592926472227
LINC02488,0.021253019669436757,0.2770592926472227
LINC02275,0.021253019669436757,0.2770592926472227
LINC00290,0.021253019669436757,0.2770592926472227
LINC01499,0.021253019669436757,0.2770592926472227
