term,p-value,q-value
LINC00601,0.023288808657688218,0.7139960587636246
LINC01543,0.023288808657688218,0.7139960587636246
PTPRD-AS2,0.042075042406305864,0.8845376057874244
SLC39A12-AS1,0.042075042406305864,0.8845376057874244
VWC2L-IT1,0.042075042406305864,0.8845376057874244
SOX1-OT,0.042075042406305864,0.8845376057874244
WARS2-IT1,0.042075042406305864,0.8845376057874244
LINC02864,0.042075042406305864,0.8845376057874244
IL6-AS1,0.042075042406305864,0.8845376057874244
ZNF667-AS1,0.042075042406305864,0.8845376057874244
LINC01416,0.042075042406305864,0.8845376057874244
CCDC148-AS1,0.042075042406305864,0.8845376057874244
GATA3-AS1,0.042075042406305864,0.8845376057874244
ARMCX3-AS1,0.042075042406305864,0.8845376057874244
PAPPA-AS1,0.042075042406305864,0.8845376057874244
TGFB2-AS1,0.042075042406305864,0.8845376057874244
CNIH3-AS2,0.042075042406305864,0.8845376057874244
SNRK-AS1,0.042075042406305864,0.8845376057874244
FNDC1-IT1,0.042075042406305864,0.8845376057874244
VLDLR-AS1,0.042075042406305864,0.8845376057874244
P4HA2-AS1,0.042075042406305864,0.8845376057874244
LRRC7-AS1,0.042075042406305864,0.8845376057874244
ZIC4-AS1,0.042075042406305864,0.8845376057874244
RIC3-DT,0.042075042406305864,0.8845376057874244
TMEM132D-AS2,0.042075042406305864,0.8845376057874244
PPFIA2-AS1,0.042075042406305864,0.8845376057874244
LINC01582,0.042075042406305864,0.8845376057874244
GORAB-AS1,0.042075042406305864,0.8845376057874244
LINC02349,0.042075042406305864,0.8845376057874244
LINC02703,0.042075042406305864,0.8845376057874244
LINC02691,0.042075042406305864,0.8845376057874244
LINC00644,0.042075042406305864,0.8845376057874244
LINC00470,0.042075042406305864,0.8845376057874244
LINC02347,0.042075042406305864,0.8845376057874244
LINC00320,0.042075042406305864,0.8845376057874244
LINC00705,0.042075042406305864,0.8845376057874244
LINC01535,0.042075042406305864,0.8845376057874244
LINC01736,0.042075042406305864,0.8845376057874244
LINC02048,0.042075042406305864,0.8845376057874244
LINC00446,0.042075042406305864,0.8845376057874244
LINC00404,0.042075042406305864,0.8845376057874244
LINC01204,0.042075042406305864,0.8845376057874244
LINC01677,0.042075042406305864,0.8845376057874244
LINC02529,0.042075042406305864,0.8845376057874244
LINC01320,0.042075042406305864,0.8845376057874244
LINC01679,0.042075042406305864,0.8845376057874244
LINC02274,0.042075042406305864,0.8845376057874244
LINC00941,0.042075042406305864,0.8845376057874244
LINC02196,0.042075042406305864,0.8845376057874244
LINC01179,0.042075042406305864,0.8845376057874244
LINC02275,0.042075042406305864,0.8845376057874244
LINC01948,0.042075042406305864,0.8845376057874244
LINC02082,0.042075042406305864,0.8845376057874244
LINC02008,0.042075042406305864,0.8845376057874244
LINC02006,0.042075042406305864,0.8845376057874244
LINC01877,0.042075042406305864,0.8845376057874244
LINC00920,0.042075042406305864,0.8845376057874244
