	GeneID	Control_Rep1	Control_Rep2	sgRNA6_D3_Rep1	sgRNA6_D3_Rep2	sgRNA7_D3_Rep1	sgRNA7_D3_Rep2	sgRNA6_D5_Rep1	sgRNA6_D5_Rep2	sgRNA7_D5_Rep1	sgRNA7_D5_Rep2
4785	ENSG00000287908	11.4535385056352	21.2933835875818	12.681227219762	0	2.34638278822107	5.44774900347623	5.42957036002424	1.32988697017982	7.7896837501148	11.9973535015315
4786	ENSG00000147383	227.92541626214	197.243974284968	214.428023897794	224.381006370654	171.285943540138	337.760438215526	282.337658721261	251.348637363986	257.059563753788	279.538336585685
4787	ENSG00000083720	0	0	9.22271070528148	1.84675725407946	2.34638278822107	16.3432470104287	5.42957036002424	1.32988697017982	4.32760208339711	3.59920605045946
4788	ENSG00000268606	633.380679361626	527.85177209216	518.777477172083	614.97016560846	766.09398035418	630.12296806875	842.488334197095	806.57644741406	656.929996259682	832.616333006289
4789	ENSG00000059804	1336.62794360763	1447.95008395556	587.947807461695	426.600925692355	682.797391372332	799.003187176514	664.217440709632	474.769648354195	626.636781675902	453.499962357892
4790	ENSG00000231447	2.29070770112704	2.24140879869282	1.15283883816019	0	0	1.81591633449208	0	0.664943485089909	0.865520416679422	4.79894140061261
4791	ENSG00000254556	32.0699078157785	53.7938111686277	26.5152932776843	54.479338995344	16.4246795175475	18.1591633449208	32.5774221601455	45.8811004712037	15.5793675002296	52.7883554067388
4792	ENSG00000242599	8.01747695394463	2.24140879869282	18.445421410563	10.157164897437	17.597870911658	17.2512051776747	9.04928393337374	11.3040392465285	15.5793675002296	11.9973535015315
4793	ENSG00000213401	739.898587464033	707.164475987585	749.345244804121	819.03684218424	727.378664348532	757.237111483196	746.565924503333	839.158678183465	724.440588760676	901.001247965018
4794	ENSG00000221867	1286.23237418283	1264.15456246275	1468.71667981608	1337.05225195353	1319.84031837435	1533.54134447856	1402.63900967293	1485.48374569086	1415.12588127086	1715.62155071901
4795	ENSG00000161544	2413.26056313733	2217.87400630655	772.402021567324	723.005464972108	696.875688101658	638.294591573965	875.970684750578	708.829755105843	873.310100429537	796.624272501694
4796	ENSG00000287394	32.0699078157785	33.6211319803923	42.6550370119269	48.0156886060659	46.9276557644214	45.3979083623019	30.7675653734707	49.8707613817432	43.2760208339711	38.3915312049009
