"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName","threshold"
"ENSG00000282988",1424.07706881283,-1.82088679556421,0.168229528946378,-10.8238238968416,2.65465282440466e-27,7.57921563921123e-25,"",TRUE
"ENSG00000008083",3781.95386999252,-1.27983200848957,0.118425365123769,-10.8070767369135,3.18663339589312e-27,8.97510989691951e-25,"JARID2",TRUE
"ENSG00000071575",3985.89875879932,-2.13698426764824,0.197780747003582,-10.8048144221517,3.2661677799559e-27,9.07646251597879e-25,"TRIB2",TRUE
"ENSG00000275126",46.8561273843429,-5.92436311379046,0.549587355803111,-10.7796568666199,4.2948485885838e-27,1.17780571425347e-24,"H4C13",TRUE
"ENSG00000284610",316.252327804103,1.94037619970474,0.180551302404926,10.7469521064601,6.12522696720768e-27,1.65794779805899e-24,"",TRUE
"ENSG00000111341",68.4412345704757,-4.91973740677923,0.457842123443181,-10.7454887937802,6.22314122892433e-27,1.66285524991334e-24,"MGP",TRUE
"ENSG00000196954",350.436711798592,2.97846465823315,0.277882579652488,10.7184288484652,8.34081104507614e-27,2.20049599748705e-24,"CASP4",TRUE
"ENSG00000182534",921.900483358031,-1.68763251913003,0.157775577338137,-10.6964116221433,1.05796253406643e-26,2.75625689187656e-24,"MXRA7",TRUE
"ENSG00000138336",698.694684217957,-1.84929322851003,0.172947530677151,-10.6927992626977,1.09999957128133e-26,2.83039395859822e-24,"TET1",TRUE
"ENSG00000196549",7207.97766484861,1.35976490941944,0.127358778460731,10.6766484874751,1.30912967946597e-26,3.29107892108112e-24,"MME",TRUE
"ENSG00000161057",3563.88036078782,1.4922115451709,0.13976542544456,10.6765427889232,1.31062062397914e-26,3.29107892108112e-24,"PSMC2",TRUE
"ENSG00000003436",1113.5673267908,3.30730518376076,0.310398183371828,10.6550403995081,1.65172933972417e-26,4.09825510696799e-24,"TFPI",TRUE
"ENSG00000169059",229.941623759818,-3.33098823396849,0.313397045672344,-10.6286523117101,2.19257900654553e-26,5.37620372404964e-24,"VCX3A",TRUE
