"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName","threshold"
"ENSG00000231817",835.890180436954,1.84373902337874,0.144092170773824,12.7955531065792,1.73611967093418e-37,1.0920192730176e-34,1.0920192730176e-34,TRUE
"ENSG00000140090",100.024530786711,-5.30248704743426,0.415127985746673,-12.7731379947726,2.31624556042737e-37,1.41138975571166e-34,1.41138975571166e-34,TRUE
"ENSG00000113732",1499.15139182755,1.65360837590082,0.133206468234782,12.413874474821,2.19755492405145e-35,1.29848858982058e-32,1.29848858982058e-32,TRUE
"ENSG00000188120",2147.63487542471,3.41688771167014,0.27704400102726,12.3333755612847,5.98844684938842e-35,3.43437426812426e-32,3.43437426812426e-32,TRUE
"ENSG00000164949",233.864979905517,3.88320065726775,0.315590389865736,12.3045592703878,8.56024113130758e-35,4.72469789041566e-32,4.72469789041566e-32,TRUE
"ENSG00000112319",1601.46484422942,1.31468575153089,0.10685862131248,12.3030386821708,8.72296651392193e-35,4.72469789041566e-32,4.72469789041566e-32,TRUE
"ENSG00000120658",731.495568427831,2.74758664626455,0.227281491062356,12.0889150868459,1.20872299135669e-33,6.36997016444977e-31,6.36997016444977e-31,TRUE
"ENSG00000102393",942.762274473668,2.09058930872079,0.173698232742717,12.035754628646,2.30516492712026e-33,1.18285291878732e-30,1.18285291878732e-30,TRUE
"ENSG00000158639",74.1896603706381,-4.80034273107779,0.399588191006658,-12.0132247126337,3.02802797333991e-33,1.51393634492705e-30,1.51393634492705e-30,TRUE
"ENSG00000214944",149.727218396122,3.30995752200747,0.277653931993767,11.9211620676122,9.18188150506057e-33,4.4759376866794e-30,4.4759376866794e-30,TRUE
"ENSG00000153208",418.465868037021,-1.64218983867583,0.137982081961162,-11.901471664546,1.16278296561992e-32,5.53002562112752e-30,5.53002562112752e-30,TRUE
"ENSG00000111341",68.4412345704757,-5.75313145132441,0.487122895036361,-11.8104312278218,3.4478835853365e-32,1.60072100072563e-29,1.60072100072563e-29,TRUE
"ENSG00000071575",3985.89875879932,-2.32740151859226,0.197779210410961,-11.7676752463325,5.72813204144508e-32,2.59750806223576e-29,2.59750806223576e-29,TRUE
"ENSG00000155495",1848.66416949921,1.10453551841994,0.0940165307242444,11.7483118118834,7.20437474295521e-32,3.19268416165645e-29,3.19268416165645e-29,TRUE
"ENSG00000175352",860.283368112115,3.73891581282859,0.318734425950371,11.7305051115212,8.89264162216504e-32,3.85328042201325e-29,3.85328042201325e-29,TRUE
"ENSG00000162733",486.149077789888,5.6851246389556,0.488574084688123,11.6361567613326,2.69905943799426e-31,1.1441078256837e-28,1.1441078256837e-28,TRUE
"ENSG00000103544",938.899597605656,1.65986236989509,0.143089986590253,11.6001294671178,4.11455315114649e-31,1.70701429562139e-28,1.70701429562139e-28,TRUE
"ENSG00000166128",1402.50112073665,1.33469239973215,0.115435386424351,11.5622465612555,6.40118619547029e-31,2.60034853386406e-28,2.60034853386406e-28,TRUE
"ENSG00000145604",1159.89509346706,-1.49755750919928,0.130978507447564,-11.4336125703587,2.84040683402698e-30,1.13030801748351e-27,1.13030801748351e-27,TRUE
"ENSG00000137449",6738.14820505174,1.45444062403308,0.12814333749033,11.3501072511307,7.4071787833099e-30,2.88865158191519e-27,2.88865158191519e-27,TRUE
"ENSG00000023572",782.189554460795,1.69383669258896,0.151418647991497,11.1864470793853,4.7509123626904e-29,1.81643216000196e-26,1.81643216000196e-26,TRUE
"ENSG00000275126",46.8561273843429,-6.24370688851169,0.558462154935851,-11.1801790565896,5.09870095644586e-29,1.91191480672573e-26,1.91191480672573e-26,TRUE
"ENSG00000285219",337.640448951157,-2.04388610085745,0.183011335336196,-11.1680847369524,5.84271148661327e-29,2.14956662787683e-26,2.14956662787683e-26,TRUE
"ENSG00000178538",1268.07064761195,2.52209259979934,0.226155283755001,11.1520392445554,6.99838370263723e-29,2.48111788759497e-26,2.48111788759497e-26,TRUE
"ENSG00000185924",61.6011241843558,-4.05828439914893,0.363903740671459,-11.1520821183667,6.9950118796893e-29,2.48111788759497e-26,2.48111788759497e-26,TRUE
"ENSG00000082074",372.233700530551,3.97329741437814,0.357321874527817,11.1196590458635,1.00655919106417e-28,3.5048031547429e-26,3.5048031547429e-26,TRUE
"ENSG00000198914",103.550063096397,-3.65195467443492,0.328639428569795,-11.1123448891323,1.09252299440657e-28,3.73738699437432e-26,3.73738699437432e-26,TRUE
"ENSG00000069667",645.567005677054,-2.26912573801549,0.204962604298892,-11.0709255758015,1.73598247205667e-28,5.83619348666087e-26,5.83619348666087e-26,TRUE
"ENSG00000161544",1071.64471484466,-1.50961666007039,0.13644680105203,-11.0637746611205,1.88014928254778e-28,6.21373404413544e-26,6.21373404413544e-26,TRUE
"ENSG00000187479",175.458853160013,-2.4947875697423,0.225862336380136,-11.0456112768774,2.30195557497255e-28,7.48097195939829e-26,7.48097195939829e-26,TRUE
"ENSG00000196549",7207.97766484861,1.40564521282886,0.127318570153639,11.0403785648286,2.44002967857722e-28,7.79969486927495e-26,7.79969486927495e-26,TRUE
"ENSG00000164830",1290.63676605471,1.44218543437305,0.130672053266676,11.0366784505164,2.54259174032475e-28,7.99645102332132e-26,7.99645102332132e-26,TRUE
"ENSG00000152894",776.665644425103,-1.36642199906086,0.124069429284976,-11.0133657173703,3.29461203266429e-28,1.01970857182414e-25,1.01970857182414e-25,TRUE
"ENSG00000123983",6434.31410834564,-1.01330175679726,0.0930395307207686,-10.89108843249,1.27111921902126e-27,3.87274275807744e-25,3.87274275807744e-25,TRUE
"ENSG00000123575",1725.1565131648,1.46895100855623,0.134982560811754,10.8825243773884,1.39641312569117e-27,4.18902454428493e-25,4.18902454428493e-25,TRUE
"ENSG00000284610",316.252327804103,1.95624413914092,0.179987315836822,10.8687888924043,1.62341469338723e-27,4.72462135915786e-25,4.72462135915786e-25,TRUE
"ENSG00000145794",68.3080546402427,-3.39510414894166,0.312630068757133,-10.8598132049133,1.7911521292853e-27,5.1361287307256e-25,5.1361287307256e-25,TRUE
"ENSG00000130881",153.639768386014,-2.56557679726854,0.237167031104533,-10.817594609673,2.84136744922474e-27,8.02953969455554e-25,8.02953969455554e-25,TRUE
"ENSG00000198963",426.93362974183,-3.59002643903112,0.333035566144461,-10.7797088478949,4.29242232319494e-27,1.1956848982854e-24,1.1956848982854e-24,TRUE
"ENSG00000167555",58.365422959802,-3.26218197891264,0.304013152512918,-10.730397523752,7.32802494910936e-27,1.98457164559282e-24,1.98457164559282e-24,TRUE
"ENSG00000143147",1627.38256530961,-1.19427032087227,0.111756792654962,-10.686333174928,1.17942167061542e-26,3.15034837744248e-24,3.15034837744248e-24,TRUE
"ENSG00000284526",105.804440565632,-2.6270837537992,0.246719243425502,-10.648069916737,1.78017675002808e-26,4.69076573632399e-24,4.69076573632399e-24,TRUE
"ENSG00000170962",72.2880273662892,-2.89357487611584,0.272460959492881,-10.6201449246216,2.40187935248179e-26,6.24456606587233e-24,6.24456606587233e-24,TRUE
"ENSG00000083067",70.2250890034517,-4.63710591279285,0.43935067811971,-10.5544526132025,4.84455013658108e-26,1.24294583043677e-23,1.24294583043677e-23,TRUE
"ENSG00000163516",597.839771293248,-1.21692498813184,0.11548095158838,-10.537885005221,5.77837836439062e-26,1.46328051593835e-23,1.46328051593835e-23,TRUE
"ENSG00000106034",631.633764480555,1.77648728089013,0.169153410370142,10.502225624673,8.43671268292311e-26,2.10907000774766e-23,2.10907000774766e-23,TRUE
"ENSG00000182272",67.2114863635939,-7.43898591318515,0.715808684251914,-10.3924219932587,2.68448183972947e-25,6.62591283454239e-23,6.62591283454239e-23,TRUE
"ENSG00000170485",1027.5758405584,-2.06240643999742,0.199049115031533,-10.3612941945042,3.7189557573091e-25,9.06448978897126e-23,9.06448978897126e-23,TRUE
"ENSG00000139211",234.536491264216,-1.77552168639629,0.171975186814436,-10.3242899123122,5.47221975194304e-25,1.31731867831034e-22,1.31731867831034e-22,TRUE
"ENSG00000213190",2388.34585685348,3.63593683579489,0.35271741513413,10.3083564343207,6.45965551941984e-25,1.53605881674594e-22,1.53605881674594e-22,TRUE
"ENSG00000169446",1135.34752890668,1.27244244244937,0.123794856207637,10.2786374283205,8.79623300876357e-25,2.06647888479374e-22,2.06647888479374e-22,TRUE
"ENSG00000136986",1376.07753499322,1.17416604338527,0.114563371352015,10.2490528126783,1.19508881187583e-24,2.77417104080558e-22,2.77417104080558e-22,TRUE
"ENSG00000113504",298.333129501443,-2.58455270048323,0.252407866964334,-10.2395885340944,1.31795677728446e-24,3.02339284709054e-22,3.02339284709054e-22,TRUE
"ENSG00000082438",966.233226477766,1.64443218723221,0.161478643796535,10.1835892881551,2.34739771499988e-24,5.32231488892822e-22,5.32231488892822e-22,TRUE
"ENSG00000123243",194.090315751856,-2.92871722338915,0.289023566882928,-10.1331433106819,3.9378313385121e-24,8.82572106547672e-22,8.82572106547672e-22,TRUE
"ENSG00000152402",2246.32091046578,1.50471367081291,0.148511467474933,10.1319695805099,3.98539616325516e-24,8.83082270310369e-22,8.83082270310369e-22,TRUE
"ENSG00000166710",4544.16654244549,1.10113597337898,0.108875840613714,10.1136851589119,4.80424246157237e-24,1.05256094110337e-21,1.05256094110337e-21,TRUE
