	GeneID	control	sgRNA6_D3	sgRNA6_D5	sgRNA7_D3	sgRNA7_D5
1907	ENSG00000260005	5.7267692528176	0	4.52464196668687	7.03914836466322	1.73104083335884
1908	ENSG00000277112	22.9070770112704	25.3624544395241	12.6689975067232	21.1174450939896	10.3862450001531
1909	ENSG00000219608	4.58141540225408	11.5283883816019	6.33449875336162	5.86595697055268	12.9828062501913
1910	ENSG00000250182	88.192246493391	53.0305865553685	76.0139850403394	58.6595697055268	43.2760208339711
1911	ENSG00000170325	943.77157286434	1344.21008529478	1326.62502463259	1197.82841338686	828.303038762207
1912	ENSG00000120471	26.3431385629609	17.2925825724028	17.1936394734101	37.5421246115371	20.7724900003061
1913	ENSG00000174370	4.58141540225408	4.61135535264074	1.80985678667475	3.51957418233161	4.32760208339711
1914	ENSG00000235501	336.734032065675	174.078664562188	243.425737807754	224.079556275112	189.548971252793
1915	ENSG00000245008	1.14535385056352	72.6288468040917	52.4858468135677	120.838713593385	58.8553883342007
1916	ENSG00000276272	5.7267692528176	2.30567767632037	8.14435554003636	9.38553115288429	8.65520416679422
1917	ENSG00000120686	1206.05760464339	2476.29782436808	2757.31681449898	3661.53034101898	2010.6039279463
1918	ENSG00000139971	147.750646722694	152.174726637144	151.123041687341	246.370192763213	137.617746252028
1919	ENSG00000149571	1.14535385056352	3.45851651448056	0	4.69276557644214	1.73104083335884
1920	ENSG00000110080	3180.64764301489	3788.22842219437	3907.48080243078	3466.78056959663	2819.86551754156
1921	ENSG00000255062	35.5059693674691	24.2096156013639	22.6232098334343	21.1174450939896	19.0414491669473
1922	ENSG00000197301	14.8896000573257	26.5152932776843	9.04928393337374	24.6370192763213	10.3862450001531
1923	ENSG00000167272	609.328248499792	1059.45889226921	870.541114390554	1024.1960870585	749.54068084438
1924	ENSG00000254905	9.16283080450815	10.3755495434417	10.8591407200485	2.34638278822107	3.46208166671769
1925	ENSG00000110074	1305.70338964241	1428.36732048047	1602.62818460049	1272.91266260993	1152.87319501699
1926	ENSG00000240098	2.29070770112704	2.30567767632037	1.80985678667475	2.34638278822107	1.73104083335884
1927	ENSG00000119950	7959.06390756589	9449.81995639904	10345.1413926329	7935.46658976366	7359.52010302513
1928	ENSG00000197798	641.398156315571	1026.02656596256	1051.52679305803	1025.36927845261	829.168559178887
1929	ENSG00000165526	1009.05674234646	1020.26237177176	1074.15000289146	920.955244376771	713.188823343844
1930	ENSG00000284138	30.924553965215	51.8777477172083	36.197135733495	58.6595697055268	24.2345716670238
1931	ENSG00000115904	4565.38044834619	6221.87120955052	6290.15726208809	7036.80198187499	4561.29259590056
1932	ENSG00000283703	3.43606155169056	3.45851651448056	3.6197135733495	2.34638278822107	6.05864291675596
1933	ENSG00000260027	784.56738763601	856.559256753018	1005.37544499782	958.497368988308	661.257598343079
1934	ENSG00000136108	4748.63706443635	6978.1334873836	9223.03018489451	8396.53080764911	7135.35031510516
1935	ENSG00000110060	538.316309764854	821.974091608212	812.625697216962	691.009731131106	711.457782510485
1936	ENSG00000196844	1.14535385056352	0	9.95421232671111	5.86595697055268	4.32760208339711
1937	ENSG00000149547	3446.36973634563	4067.21542102913	4941.8139560154	4370.13794306175	3568.54067796926
1938	ENSG00000149557	121.407508159733	85.3100740238537	99.5421232671111	122.011904987496	81.3589191678657
1939	ENSG00000168679	473.031140282733	1604.75166271898	1275.04410621236	1617.83093247843	869.848018762819
1940	ENSG00000138175	554.351263672743	789.694604139727	786.382773810178	983.134388264629	588.553883342007
1941	ENSG00000149548	1164.8248660231	1032.94359899153	1254.2307531656	1099.28033628157	959.862142097479
1942	ENSG00000154134	608.182894649229	699.773174763233	723.942714669899	671.065477431226	540.950260424639
1943	ENSG00000245498	127.134277412551	107.214011948897	91.3977677270748	66.8719094643005	64.9140312509567
1944	ENSG00000154146	294.355939594824	160.244598504266	235.281382267717	174.80551772247	169.642001669167
1945	ENSG00000196368	71.0119387349382	10.3755495434417	14.478854293398	8.21233975877375	12.1172858335119
1946	ENSG00000161800	2644.62204095117	2558.14938187745	3178.10851740086	2821.52530283584	2636.37518920552
1947	ENSG00000234997	2.29070770112704	3.45851651448056	9.95421232671111	1.17319139411054	2.59656125003827
1948	ENSG00000064199	191.274093044108	148.716210122664	135.739259000606	219.38679069867	127.231501251875
1949	ENSG00000215030	4.58141540225408	6.91703302896111	10.8591407200485	1.17319139411054	2.59656125003827
1950	ENSG00000187688	856.724680221512	1354.58563483822	1450.60021451981	1042.96714936427	1080.16948001592
1951	ENSG00000186395	287.483816491443	335.476101904614	376.450211628348	350.78422683905	245.807798336956
1952	ENSG00000075218	3715.52789122806	2216.90908578204	3252.31264565452	2602.13851213717	2561.94043337109
