term,p-value,q-value
ROR1-AS1,0.025090859883728202,0.35785838909167345
APCDD1L-DT,0.025090859883728202,0.35785838909167345
MYO16-AS2,0.025090859883728202,0.35785838909167345
PACRG-AS2,0.025090859883728202,0.35785838909167345
LRRK2-DT,0.025090859883728202,0.35785838909167345
ZMIZ1-AS1,0.025090859883728202,0.35785838909167345
LINC02104,0.025090859883728202,0.35785838909167345
WDFY3-AS2,0.025090859883728202,0.35785838909167345
LINC02338,0.025090859883728202,0.35785838909167345
LINC01999,0.025090859883728202,0.35785838909167345
LINC01897,0.025090859883728202,0.35785838909167345
LINC01538,0.025090859883728202,0.35785838909167345
LINC01894,0.025090859883728202,0.35785838909167345
VIPR1-AS1,0.025090859883728202,0.35785838909167345
SERTAD4-AS1,0.025090859883728202,0.35785838909167345
CYP1B1-AS1,0.025090859883728202,0.35785838909167345
TMED2-DT,0.025090859883728202,0.35785838909167345
ECI2-DT,0.025090859883728202,0.35785838909167345
LINC01228,0.025090859883728202,0.35785838909167345
EPB41L4A-DT,0.025090859883728202,0.35785838909167345
CHMP1B-AS1,0.025090859883728202,0.35785838909167345
FIGNL2-DT,0.025090859883728202,0.35785838909167345
CPEB1-AS1,0.025090859883728202,0.35785838909167345
RERG-AS1,0.025090859883728202,0.35785838909167345
HOXA-AS2,0.025090859883728202,0.35785838909167345
HAS2-AS1,0.025090859883728202,0.35785838909167345
SLC9A9-AS2,0.025090859883728202,0.35785838909167345
ENOX1-AS2,0.025090859883728202,0.35785838909167345
TTLL11-IT1,0.025090859883728202,0.35785838909167345
PKN2-AS1,0.025090859883728202,0.35785838909167345
CARD11-AS1,0.025090859883728202,0.35785838909167345
RNF217-AS1,0.025090859883728202,0.35785838909167345
MSC-AS1,0.025090859883728202,0.35785838909167345
SYNE1-AS1,0.025090859883728202,0.35785838909167345
LINC01960,0.025090859883728202,0.35785838909167345
ATP1A1-AS1,0.025090859883728202,0.35785838909167345
LINC02464,0.025090859883728202,0.35785838909167345
LINC00656,0.025090859883728202,0.35785838909167345
LINC02625,0.025090859883728202,0.35785838909167345
LINC01762,0.025090859883728202,0.35785838909167345
LINC00415,0.025090859883728202,0.35785838909167345
LINC02558,0.025090859883728202,0.35785838909167345
LINC00358,0.025090859883728202,0.35785838909167345
LINC02829,0.025090859883728202,0.35785838909167345
LINC01005,0.025090859883728202,0.35785838909167345
LINC00866,0.025090859883728202,0.35785838909167345
LINC00092,0.025090859883728202,0.35785838909167345
LINC01266,0.025090859883728202,0.35785838909167345
LINC01853,0.025090859883728202,0.35785838909167345
LINC00571,0.025090859883728202,0.35785838909167345
LINC02238,0.025090859883728202,0.35785838909167345
LINC02823,0.025090859883728202,0.35785838909167345
LINC01914,0.025090859883728202,0.35785838909167345
LINC02529,0.025090859883728202,0.35785838909167345
LINC02554,0.025090859883728202,0.35785838909167345
LINC00299,0.025090859883728202,0.35785838909167345
LINC02698,0.025090859883728202,0.35785838909167345
LINC00607,0.025090859883728202,0.35785838909167345
LINC00944,0.025090859883728202,0.35785838909167345
LINC02697,0.025090859883728202,0.35785838909167345
LINC01386,0.025090859883728202,0.35785838909167345
LINC01187,0.025090859883728202,0.35785838909167345
LINC02212,0.025090859883728202,0.35785838909167345
LINC02198,0.025090859883728202,0.35785838909167345
LINC02276,0.025090859883728202,0.35785838909167345
LINC02511,0.025090859883728202,0.35785838909167345
LINC02119,0.025090859883728202,0.35785838909167345
LINC02778,0.025090859883728202,0.35785838909167345
LINC01589,0.025090859883728202,0.35785838909167345
LINC02567,0.025090859883728202,0.35785838909167345
LINC02827,0.025090859883728202,0.35785838909167345
LINC01519,0.025090859883728202,0.35785838909167345
